stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2067,2067,NB Paradise before St Louis,,36.146218,-115.153301,,,,,,0
2069,2069,SB Paradise after Sahara,,36.142296,-115.154935,,,,,,0
2070,2070,SB Paradise after Sands,,36.120237,-115.155134,,,,,,0
2071,2071,SB Paradise before Edison,,36.12535,-115.155064,,,,,,0
2072,2072,SB Paradise before Tropicana,,36.102179,-115.150364,,,,,,0
2073,2073,SB Paradise before Elvis Presley,,36.139033,-115.154926,,,,,,0
2078,2078,WB Patrick after Caballo,,36.078378,-115.050963,,,,,,0
2079,2079,WB Patrick after Stephanie,,36.078461,-115.045973,,,,,,0
2083,2083,SB Pecos after Alto,,36.210404,-115.098628,,,,,,0
2085,2085,NB Pecos before Stewart,,36.16532,-115.098058,,,,,,0
2086,2086,NB Pecos after Bartlett,,36.200599,-115.098278,,,,,,0
2087,2087,SB Pecos after Bartlett,,36.199961,-115.098543,,,,,,0
2089,2089,NB Pecos after Bonanza,,36.174059,-115.098109,,,,,,0
2090,2090,SB Pecos after Bonanza,,36.173027,-115.098416,,,,,,0
2091,2091,NB Pecos after Carey,,36.203688,-115.098298,,,,,,0
2092,2092,SB Pecos after Carey,,36.202855,-115.098564,,,,,,0
2093,2093,NB Pecos after San Antonio,,36.206908,-115.098338,,,,,,0
2094,2094,SB Pecos before Cartier,,36.20648,-115.0986,,,,,,0
2095,2095,SB Pecos after Casey,,36.095295,-115.101165,,,,,,0
2096,2096,NB Pecos after Charleston,,36.15933,-115.100908,,,,,,0
2097,2097,SB Pecos before Aristos,,36.216871,-115.098703,,,,,,0
2098,2098,SB Pecos after Colton,,36.220779,-115.098728,,,,,,0
2099,2099,NB Pecos at Cedar Drainage Trail,,36.170072,-115.098079,,,,,,0
2100,2100,SB Pecos after Cedar Drainage Trail,,36.169544,-115.098365,,,,,,0
2101,2101,NB Pecos before Flamingo,,36.114447,-115.100709,,,,,,0
2105,2105,NB Pecos after Geist,,36.212658,-115.098369,,,,,,0
2106,2106,SB Pecos after Gowan,,36.224352,-115.098793,,,,,,0
2107,2107,NB Pecos after Hacienda,,36.094239,-115.100859,,,,,,0
2108,2108,SB Pecos after Hacienda,,36.092778,-115.101153,,,,,,0
2109,2109,NB Pecos after Harmon,,36.10833,-115.100569,,,,,,0
2110,2110,SB Pecos after Harmon,,36.10715,-115.100853,,,,,,0
2111,2111,NB Pecos after Las Vegas,,36.21532,-115.098408,,,,,,0
2112,2112,NB Pecos after Lake Mead,,36.196539,-115.098249,,,,,,0
2113,2113,SB Pecos after Lake Mead,,36.19514,-115.098509,,,,,,0
2114,2114,SB Pecos after Las Vegas,,36.213893,-115.098702,,,,,,0
2115,2115,NB Pecos after Madama,,36.185316,-115.098169,,,,,,0
2116,2116,SB Pecos after Milenko,,36.110366,-115.100904,,,,,,0
2117,2117,NB Pecos after Mojave,,36.123377,-115.106327,,,,,,0
2118,2118,NB Pecos after Owens,,36.18882,-115.098178,,,,,,0
2119,2119,SB Pecos after Owens,,36.187657,-115.098483,,,,,,0
2120,2120,SB Pecos after Brookfield,,36.090464,-115.101127,,,,,,0
2121,2121,NB Pecos after Patrick,,36.079779,-115.1008,,,,,,0
2122,2122,SB Pecos after Patrick,,36.078345,-115.101077,,,,,,0
2123,2123,NB Pecos after Post,,36.076967,-115.100768,,,,,,0
2124,2124,SB Pecos after Pepper,,36.07593,-115.101043,,,,,,0
2125,2125,NB Pecos at Perliter,,36.19239,-115.098209,,,,,,0
2126,2126,SB Pecos after Perliter,,36.192081,-115.098485,,,,,,0
2127,2127,NB Pecos after Rawhide,,36.090349,-115.100839,,,,,,0
2128,2128,NB Pecos after Reno,,36.097689,-115.100888,,,,,,0
2130,2130,NB Pecos after Rochelle,,36.111765,-115.100683,,,,,,0
2131,2131,NB Pecos after Russell,,36.087047,-115.10082,,,,,,0
2132,2132,SB Pecos after Russell,,36.085605,-115.10111,,,,,,0
2133,2133,NB Pecos after Sunrise,,36.162477,-115.099049,,,,,,0
2134,2134,SB Pecos after Stewart,,36.165675,-115.098341,,,,,,0
2135,2135,SB Pecos after Sunrise,,36.161746,-115.100223,,,,,,0
2136,2136,NB Pecos after Sunset,,36.07288,-115.1007,,,,,,0
2137,2137,NB Pecos after Tompkins,,36.104549,-115.100689,,,,,,0
2138,2138,SB Pecos after Tompkins,,36.103106,-115.101048,,,,,,0
2139,2139,NB Pecos after Tropicana,,36.100669,-115.100879,,,,,,0
2140,2140,SB Pecos after Tropicana,,36.099406,-115.101184,,,,,,0
2141,2141,NB Pecos after Saddle,,36.117582,-115.100896,,,,,,0
2142,2142,NB Pecos after Washington,,36.18135,-115.098138,,,,,,0
2143,2143,SB Pecos after Washington,,36.180396,-115.098447,,,,,,0
2144,2144,SB Pecos McLeod Int after Desrt Inn,,36.128999,-115.109941,,,,,,0
2145,2145,SB Pecos after McLeod,,36.124767,-115.108418,,,,,,0
2146,2146,SB Pecos before Mojave,,36.12223,-115.105334,,,,,,0
2165,2165,SB Pueblo after Kirk,,36.053348,-114.959009,,,,,,0
2178,2178,SB Rainbow after Accent,,36.239584,-115.242358,,,,,,0
2179,2179,NB Rainbow after Alexander,,36.233559,-115.242191,,,,,,0
2180,2180,SB Rainbow after Alexander,,36.231903,-115.242427,,,,,,0
2181,2181,NB Rainbow after Alta,,36.166941,-115.244102,,,,,,0
